frame_id,source,frame,camera,folder,blur,brightness,blur_bin,brightness_bin,max_conf,conf_band,n_boxes,max_area_frac,large_box,stratum
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0646.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0646.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,95.2,82.7,high,mid,0.863,high,1,0.216587,yes,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0655.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0655.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,99.1,80.8,high,mid,0.173,low,1,0.205222,yes,faint
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0715.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0715.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,97.7,71.0,high,low,0.836,high,2,0.237052,yes,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0722.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0722.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,101.1,74.1,high,low,0.844,high,1,0.204495,yes,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0748.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0748.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,102.1,72.8,high,low,0.819,high,1,0.186200,yes,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0774.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0774.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,99.0,81.3,high,mid,0.593,high,1,0.221921,yes,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0791.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0791.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,104.4,79.6,high,mid,0.720,high,1,0.178860,yes,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0958.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0958.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,62.0,115.7,mid,high,0.586,high,2,0.028688,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0980.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0980.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,65.9,115.8,high,high,0.547,high,4,0.011173,no,confident
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR0989.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR0989.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,63.8,116.4,high,high,0.173,low,3,0.193043,yes,faint
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR1055.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR1055.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,62.7,118.8,mid,high,0.211,low,1,0.045686,no,faint
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR1066.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR1066.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,47.7,118.2,low,high,0.225,low,2,0.056568,no,faint
ALLFISHDATA/Primary camera/DCIM/100GOPRO/GOPR1110.JPG,ALLFISHDATA,Primary camera/DCIM/100GOPRO/GOPR1110.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/100GOPRO,62.9,115.8,mid,high,0.208,low,2,0.346795,yes,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1169.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1169.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,52.4,107.5,mid,high,0.130,low,1,0.041306,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1172.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1172.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,55.6,106.9,mid,high,0.369,mid,1,0.039705,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1173.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1173.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,57.0,107.0,mid,high,0.389,mid,2,0.040054,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1174.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1174.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,62.8,107.0,mid,high,0.152,low,1,0.036400,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1178.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1178.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,53.9,106.8,mid,high,0.195,low,1,0.037412,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1180.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1180.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,67.5,106.2,high,high,0.442,mid,2,0.038682,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1184.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1184.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,65.2,106.0,high,high,0.390,mid,1,0.043037,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1187.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1187.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,70.2,105.1,high,high,0.281,mid,2,0.297035,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1191.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1191.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,51.0,105.6,mid,high,0.254,mid,1,0.040222,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1194.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1194.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,55.4,104.8,mid,high,0.195,low,2,0.042405,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1197.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1197.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,53.7,104.3,mid,high,0.501,high,1,0.041629,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1200.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1200.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,46.6,101.5,low,mid,0.748,high,3,0.217776,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1202.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1202.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,45.7,96.9,low,mid,0.244,low,2,0.224550,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1204.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1204.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,45.2,95.2,low,mid,0.333,mid,1,0.041075,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1207.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1207.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,44.0,92.2,low,mid,0.421,mid,4,0.342865,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1209.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1209.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,44.3,91.9,low,mid,0.250,mid,3,0.366687,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1211.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1211.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,43.6,88.9,low,mid,0.476,mid,3,0.041595,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1221.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1221.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,47.4,82.8,low,mid,0.215,low,2,0.332831,yes,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1222.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1222.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,53.5,80.8,mid,mid,0.430,mid,2,0.361338,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1228.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1228.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,78.8,73.3,high,low,0.296,mid,3,0.357050,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1240.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1240.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,87.9,25.2,high,low,0.642,high,6,0.450755,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1241.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1241.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,71.4,21.2,high,low,0.559,high,4,0.455595,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1242.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1242.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,61.8,15.9,mid,low,0.522,high,4,0.439587,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1243.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1243.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,60.7,14.3,mid,low,0.663,high,5,0.440849,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1244.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1244.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,57.8,12.8,mid,low,0.611,high,5,0.397352,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1245.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1245.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,52.4,11.6,mid,low,0.648,high,4,0.386210,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1251.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1251.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,18.1,5.1,low,low,0.891,high,2,0.205422,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1252.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1252.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,18.9,4.8,low,low,0.893,high,2,0.203075,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1302.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1302.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,7.0,1.6,low,low,0.178,low,1,0.138948,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1312.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1312.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,7.4,2.2,low,low,0.703,high,2,0.207791,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1317.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1317.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,7.6,2.1,low,low,0.680,high,3,0.210176,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1318.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1318.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,7.6,1.9,low,low,0.194,low,2,0.197349,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1323.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1323.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,7.6,2.1,low,low,0.197,low,1,0.202373,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1331.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1331.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,8.4,2.2,low,low,0.711,high,2,0.202993,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1332.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1332.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,7.1,1.8,low,low,0.353,mid,2,0.201285,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1384.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1384.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,5.0,1.3,low,low,0.171,low,1,0.125852,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1393.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1393.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,5.0,1.4,low,low,0.102,low,1,0.122956,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1520.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1520.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,61.3,105.9,mid,high,0.562,high,2,0.019461,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1535.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1535.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,74.9,108.0,high,high,0.697,high,1,0.001731,no,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1550.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1550.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,65.0,106.0,high,high,0.109,low,1,0.001625,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1578.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1578.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,63.0,83.7,mid,mid,0.631,high,1,0.005405,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1590.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1590.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,48.0,80.4,low,mid,0.601,high,2,0.013874,no,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1591.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1591.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,55.1,91.1,mid,mid,0.225,low,2,0.015718,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1613.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1613.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,69.9,91.9,high,mid,0.473,mid,3,0.018579,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1615.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1615.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,71.5,97.0,high,mid,0.538,high,4,0.018587,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1636.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1636.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,47.8,91.2,low,mid,0.279,mid,1,0.017618,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1638.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1638.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,47.7,89.7,low,mid,0.546,high,3,0.017582,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1669.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1669.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,48.5,122.5,mid,high,0.900,high,1,0.307437,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1692.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1692.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,47.2,95.4,low,mid,0.570,high,3,0.016218,no,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1716.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1716.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,73.4,99.5,high,mid,0.356,mid,3,0.017960,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1717.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1717.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,62.4,122.8,mid,high,0.618,high,1,0.003202,no,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1720.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1720.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,58.6,106.8,mid,high,0.151,low,1,0.003074,no,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1732.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1732.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,77.3,104.2,high,high,0.256,mid,1,0.003008,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1734.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1734.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,67.9,105.1,high,high,0.101,low,1,0.237215,yes,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1738.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1738.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,57.6,113.8,mid,high,0.721,high,1,0.003202,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1739.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1739.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,77.1,114.5,high,high,0.633,high,1,0.003079,no,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1740.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1740.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,72.5,105.2,high,high,0.207,low,1,0.003077,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1743.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1743.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,86.1,109.2,high,high,0.526,high,1,0.003086,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1746.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1746.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,68.8,114.1,high,high,0.490,mid,1,0.003156,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1752.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1752.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,72.5,106.4,high,high,0.474,mid,1,0.003089,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1760.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1760.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,75.8,99.3,high,mid,0.294,mid,1,0.003182,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1767.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1767.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,67.8,107.4,high,high,0.308,mid,1,0.003397,no,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1771.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1771.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,71.8,98.2,high,mid,0.117,low,1,0.239296,yes,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1775.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1775.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,61.8,108.6,mid,high,0.239,low,1,0.003358,no,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1793.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1793.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,70.6,99.4,high,mid,0.288,mid,2,0.332384,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1812.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1812.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,72.0,104.1,high,high,0.144,low,1,0.003151,no,faint
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1838.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1838.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,74.3,98.3,high,mid,0.440,mid,1,0.391875,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1865.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1865.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,75.2,99.8,high,mid,0.605,high,1,0.364438,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1884.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1884.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,68.4,96.5,high,mid,0.542,high,2,0.406100,yes,confident
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1887.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1887.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,68.6,96.3,high,mid,0.460,mid,2,0.389477,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1911.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1911.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,51.6,94.4,mid,mid,0.538,high,2,0.409404,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1919.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1919.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,52.1,94.0,mid,mid,0.570,high,2,0.383624,yes,fish_folders
ALLFISHDATA/Primary camera/DCIM/101GOPRO/GOPR1935.JPG,ALLFISHDATA,Primary camera/DCIM/101GOPRO/GOPR1935.JPG,Primary,ALLFISHDATA/Primary camera/DCIM/101GOPRO,53.4,93.7,mid,mid,0.584,high,3,0.363455,yes,confident
